Windows PowerShell
版权所有（C） Microsoft Corporation。保留所有权利。

安装最新的 PowerShell，了解新功能和改进！https://aka.ms/PSWindows

PS C:\Git\ga_combine\source_code\multi_ppo_acrobot_noisy> python ppo_3m_noisy_acrobot_train.py
=== Starting E2E PPO (3M Params) Tests on ACROBOT IN NOISY ENVIRONMENT ===
Target Score: -85.0 | Max Steps Allowed: 1000000


--- Running NOISY Acrobot Seed 103 (1/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
    [Progress] Steps: 10000 | Elapsed: 37.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 20000 | Elapsed: 75.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 30000 | Elapsed: 112.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 40000 | Elapsed: 150.0s | Recent Avg Reward: -496.0
    [Progress] Steps: 50000 | Elapsed: 192.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 60000 | Elapsed: 229.3s | Recent Avg Reward: -477.5
    [Progress] Steps: 70000 | Elapsed: 266.3s | Recent Avg Reward: -481.2
    [Progress] Steps: 80000 | Elapsed: 304.1s | Recent Avg Reward: -436.9
    [Progress] Steps: 90000 | Elapsed: 341.9s | Recent Avg Reward: -424.1
    [Progress] Steps: 100000 | Elapsed: 383.7s | Recent Avg Reward: -425.6
    [Progress] Steps: 110000 | Elapsed: 421.3s | Recent Avg Reward: -427.6
    [Progress] Steps: 120000 | Elapsed: 458.9s | Recent Avg Reward: -390.9
    [Progress] Steps: 130000 | Elapsed: 496.1s | Recent Avg Reward: -385.6
    [Progress] Steps: 140000 | Elapsed: 538.7s | Recent Avg Reward: -275.9
    [Progress] Steps: 150000 | Elapsed: 576.7s | Recent Avg Reward: -207.3
    [Progress] Steps: 160000 | Elapsed: 614.4s | Recent Avg Reward: -165.8
    [Progress] Steps: 170000 | Elapsed: 653.0s | Recent Avg Reward: -139.7
    [Progress] Steps: 180000 | Elapsed: 691.7s | Recent Avg Reward: -132.3
    [Progress] Steps: 190000 | Elapsed: 734.6s | Recent Avg Reward: -124.0
    [Progress] Steps: 200000 | Elapsed: 773.3s | Recent Avg Reward: -122.0
    [Progress] Steps: 210000 | Elapsed: 812.1s | Recent Avg Reward: -115.2
    [Progress] Steps: 220000 | Elapsed: 850.8s | Recent Avg Reward: -99.5
    [Progress] Steps: 230000 | Elapsed: 894.5s | Recent Avg Reward: -118.1
    [Progress] Steps: 240000 | Elapsed: 933.1s | Recent Avg Reward: -117.9
    [Progress] Steps: 250000 | Elapsed: 971.4s | Recent Avg Reward: -104.2
    [Progress] Steps: 260000 | Elapsed: 1010.2s | Recent Avg Reward: -93.4
    [Progress] Steps: 270000 | Elapsed: 1049.1s | Recent Avg Reward: -118.6
    [Progress] Steps: 280000 | Elapsed: 1092.1s | Recent Avg Reward: -98.0
    [Progress] Steps: 290000 | Elapsed: 1131.1s | Recent Avg Reward: -90.5
    [Progress] Steps: 300000 | Elapsed: 1169.8s | Recent Avg Reward: -107.8
    [Progress] Steps: 310000 | Elapsed: 1208.9s | Recent Avg Reward: -97.0
    [Progress] Steps: 320000 | Elapsed: 1252.4s | Recent Avg Reward: -96.0
    [Progress] Steps: 330000 | Elapsed: 1290.0s | Recent Avg Reward: -361.6
    [Progress] Steps: 340000 | Elapsed: 1328.2s | Recent Avg Reward: -133.5
    [Progress] Steps: 350000 | Elapsed: 1367.0s | Recent Avg Reward: -128.2
    [Progress] Steps: 360000 | Elapsed: 1405.9s | Recent Avg Reward: -106.0
    [Progress] Steps: 370000 | Elapsed: 1448.8s | Recent Avg Reward: -108.5
    [Progress] Steps: 380000 | Elapsed: 1487.7s | Recent Avg Reward: -105.9
    [Progress] Steps: 390000 | Elapsed: 1526.6s | Recent Avg Reward: -109.4
    [Progress] Steps: 400000 | Elapsed: 1565.5s | Recent Avg Reward: -108.9
    [Progress] Steps: 410000 | Elapsed: 1608.7s | Recent Avg Reward: -118.4
