(neat) PS D:\Git\ga_combine\source_code\multi_ga_pendulum_smoo> python ga_pendulum.py --population 50 --generations 100 --subset-k 5 --seed-refresh-rate 0.4
Starting Batch Experiment with seeds: [101, 102, 103, 104, 105]

##################################################
STARTING RUN WITH GLOBAL SEED: 101
##################################################

Global Seed set to: 101
Initial subset: [2099, 2049, 2094, 2070, 2084] (Max Age: 10)
Training Started. Logs: runs_pendulum/ga_1774047806_seed101
   Detailed logs: runs_pendulum/ga_1774047806_seed101/detailed_history.csv
   Checkpoints:   runs_pendulum/ga_1774047806_seed101/checkpoints/
Gen 5 | Fit: 0.14 | MaxRaw: -904.9 | Avg: -1082.8
Gen 6 | Fit: 0.14 | MaxRaw: -941.7 | Avg: -1116.0
Gen 7 | Fit: 0.16 | MaxRaw: -1096.6 | Avg: -1247.9
Gen 8 | Fit: 0.13 | MaxRaw: -961.3 | Avg: -1134.4
Gen 9 | Fit: 0.15 | MaxRaw: -938.7 | Avg: -1151.6
Gen 10 | Fit: 0.16 | MaxRaw: -919.2 | Avg: -1096.1
Gen 11 | Fit: 0.14 | MaxRaw: -918.2 | Avg: -1069.2
Gen 12 | Fit: 0.16 | MaxRaw: -936.3 | Avg: -1088.0
Gen 13 | Fit: 0.18 | MaxRaw: -981.0 | Avg: -1257.9
Gen 14 | Fit: 0.12 | MaxRaw: -1232.9 | Avg: -1301.6
Gen 15 | Fit: 0.12 | MaxRaw: -1179.1 | Avg: -1285.1
Gen 16 | Fit: 0.12 | MaxRaw: -965.0 | Avg: -1238.3
Gen 17 | Fit: 0.14 | MaxRaw: -912.3 | Avg: -1143.3
Gen 18 | Fit: 0.14 | MaxRaw: -899.5 | Avg: -1119.6
Gen 19 | Fit: 0.14 | MaxRaw: -1022.3 | Avg: -1212.1
Gen 20 | Fit: 0.14 | MaxRaw: -868.8 | Avg: -1139.4
Gen 21 | Fit: 0.19 | MaxRaw: -662.6 | Avg: -1002.0
Gen 22 | Fit: 0.14 | MaxRaw: -877.8 | Avg: -1128.8
Gen 23 | Fit: 0.14 | MaxRaw: -957.7 | Avg: -1132.6
Gen 24 | Fit: 0.15 | MaxRaw: -710.0 | Avg: -973.1
Gen 25 | Fit: 0.15 | MaxRaw: -769.8 | Avg: -1035.0
Gen 26 | Fit: 0.16 | MaxRaw: -778.4 | Avg: -1025.1
Gen 27 | Fit: 0.15 | MaxRaw: -854.4 | Avg: -1087.6
Gen 28 | Fit: 0.14 | MaxRaw: -893.5 | Avg: -1090.7
Gen 29 | Fit: 0.18 | MaxRaw: -625.3 | Avg: -925.7
Gen 30 | Fit: 0.18 | MaxRaw: -691.8 | Avg: -999.3
Gen 31 | Fit: 0.17 | MaxRaw: -691.0 | Avg: -966.2
Gen 32 | Fit: 0.15 | MaxRaw: -710.0 | Avg: -928.5
Gen 33 | Fit: 0.15 | MaxRaw: -646.4 | Avg: -932.7
Gen 34 | Fit: 0.14 | MaxRaw: -774.5 | Avg: -1014.2
Gen 35 | Fit: 0.15 | MaxRaw: -786.3 | Avg: -1023.8
Gen 36 | Fit: 0.13 | MaxRaw: -800.7 | Avg: -1034.4
Gen 37 | Fit: 0.15 | MaxRaw: -602.2 | Avg: -872.2
Gen 38 | Fit: 0.13 | MaxRaw: -814.5 | Avg: -1050.8
Gen 39 | Fit: 0.17 | MaxRaw: -691.2 | Avg: -974.8
Gen 40 | Fit: 0.15 | MaxRaw: -711.5 | Avg: -997.1
Gen 41 | Fit: 0.14 | MaxRaw: -781.9 | Avg: -1031.7
Gen 42 | Fit: 0.17 | MaxRaw: -621.2 | Avg: -939.2
Gen 43 | Fit: 0.17 | MaxRaw: -643.0 | Avg: -949.3
Gen 44 | Fit: 0.15 | MaxRaw: -712.3 | Avg: -1013.6
Gen 45 | Fit: 0.14 | MaxRaw: -898.1 | Avg: -1113.7
Gen 46 | Fit: 0.19 | MaxRaw: -622.4 | Avg: -918.4
Gen 47 | Fit: 0.17 | MaxRaw: -656.3 | Avg: -950.5
Gen 48 | Fit: 0.16 | MaxRaw: -607.1 | Avg: -902.8
Gen 49 | Fit: 0.17 | MaxRaw: -605.6 | Avg: -910.7
Gen 50 | Fit: 0.15 | MaxRaw: -737.4 | Avg: -1034.9
Gen 51 | Fit: 0.14 | MaxRaw: -782.7 | Avg: -1038.8
Gen 52 | Fit: 0.14 | MaxRaw: -802.2 | Avg: -1043.8
Gen 53 | Fit: 0.18 | MaxRaw: -622.6 | Avg: -923.4
Gen 54 | Fit: 0.16 | MaxRaw: -600.1 | Avg: -884.7
Gen 55 | Fit: 0.14 | MaxRaw: -747.0 | Avg: -984.0
Gen 56 | Fit: 0.17 | MaxRaw: -606.8 | Avg: -911.7
Gen 57 | Fit: 0.16 | MaxRaw: -647.5 | Avg: -899.8
Gen 58 | Fit: 0.14 | MaxRaw: -687.6 | Avg: -941.3
Gen 59 | Fit: 0.15 | MaxRaw: -821.5 | Avg: -1109.5
Gen 60 | Fit: 0.15 | MaxRaw: -628.5 | Avg: -892.0
Gen 61 | Fit: 0.17 | MaxRaw: -686.5 | Avg: -969.8
Gen 62 | Fit: 0.17 | MaxRaw: -665.0 | Avg: -912.2
Gen 63 | Fit: 0.16 | MaxRaw: -641.6 | Avg: -891.8
Gen 64 | Fit: 0.15 | MaxRaw: -877.3 | Avg: -1058.1
Gen 65 | Fit: 0.16 | MaxRaw: -735.9 | Avg: -969.3
Gen 66 | Fit: 0.16 | MaxRaw: -631.9 | Avg: -920.2
Gen 67 | Fit: 0.17 | MaxRaw: -604.6 | Avg: -929.1
Gen 68 | Fit: 0.18 | MaxRaw: -646.7 | Avg: -926.2
Gen 69 | Fit: 0.14 | MaxRaw: -815.4 | Avg: -1057.7
Gen 70 | Fit: 0.17 | MaxRaw: -664.5 | Avg: -952.8
Gen 71 | Fit: 0.16 | MaxRaw: -645.4 | Avg: -920.7
Gen 72 | Fit: 0.15 | MaxRaw: -732.7 | Avg: -998.3
Gen 73 | Fit: 0.15 | MaxRaw: -783.2 | Avg: -1035.3
Gen 74 | Fit: 0.17 | MaxRaw: -594.2 | Avg: -907.1
Gen 75 | Fit: 0.16 | MaxRaw: -633.2 | Avg: -922.4
Gen 76 | Fit: 0.14 | MaxRaw: -702.8 | Avg: -933.9
Gen 77 | Fit: 0.16 | MaxRaw: -712.6 | Avg: -975.2
Gen 78 | Fit: 0.16 | MaxRaw: -648.6 | Avg: -917.5
Gen 79 | Fit: 0.15 | MaxRaw: -652.2 | Avg: -887.0
Gen 80 | Fit: 0.17 | MaxRaw: -623.0 | Avg: -926.4
Gen 81 | Fit: 0.18 | MaxRaw: -643.2 | Avg: -964.7
Gen 82 | Fit: 0.16 | MaxRaw: -582.8 | Avg: -921.1
Gen 83 | Fit: 0.16 | MaxRaw: -624.3 | Avg: -910.3
Gen 84 | Fit: 0.17 | MaxRaw: -687.7 | Avg: -972.9
Gen 85 | Fit: 0.13 | MaxRaw: -584.1 | Avg: -930.7
Gen 86 | Fit: 0.15 | MaxRaw: -707.3 | Avg: -985.8
Gen 87 | Fit: 0.16 | MaxRaw: -633.8 | Avg: -911.9
Gen 88 | Fit: 0.17 | MaxRaw: -654.2 | Avg: -969.9
Gen 89 | Fit: 0.14 | MaxRaw: -756.0 | Avg: -995.9
Gen 90 | Fit: 0.13 | MaxRaw: -870.3 | Avg: -1098.8
Gen 91 | Fit: 0.15 | MaxRaw: -725.4 | Avg: -996.3
Gen 92 | Fit: 0.15 | MaxRaw: -697.9 | Avg: -984.6
Gen 93 | Fit: 0.17 | MaxRaw: -692.1 | Avg: -969.0
Gen 94 | Fit: 0.17 | MaxRaw: -689.2 | Avg: -937.0
Gen 95 | Fit: 0.17 | MaxRaw: -668.3 | Avg: -937.6
Gen 96 | Fit: 0.15 | MaxRaw: -703.2 | Avg: -947.7
Gen 97 | Fit: 0.16 | MaxRaw: -647.3 | Avg: -915.1
Gen 98 | Fit: 0.17 | MaxRaw: -647.3 | Avg: -940.8
Gen 99 | Fit: 0.13 | MaxRaw: -666.9 | Avg: -982.7
Gen 100 | Fit: 0.16 | MaxRaw: -704.8 | Avg: -952.2

Final Robustness Check (All 100 Seeds)...
100%|████████████████████████████████████████████████████████████████████████████| 5000/5000 [5:33:07<00:00,  4.00s/it]
